HOME,WORK,TRANSPORT,OTHER
0.9,0.02,0.01,0.07
0.9,0.02,0.01,0.07
0.9,0.02,0.01,0.07
0.9,0.02,0.01,0.07
0.9,0.02,0.01,0.07
0.9,0.02,0.01,0.07
0.9,0.02,0.01,0.07
0.9,0.02,0.01,0.07
0.75,0.02,0.02,0.21
0.75,0.02,0.02,0.21
0.75,0.02,0.02,0.21
0.7,0.02,0.02,0.26
0.65,0.02,0.02,0.31
0.66,0.04,0.02,0.28
0.4,0.04,0.02,0.54
0.4,0.04,0.02,0.54
0.4,0.04,0.02,0.54
0.5,0.04,0.02,0.44
0.65,0.04,0.02,0.29
0.7,0.02,0.01,0.27
0.75,0.03,0.01,0.21
0.9,0.03,0.01,0.06
0.9,0.03,0.01,0.06
0.9,0.03,0.01,0.06
